24914180,"Rodden, John",George Orwell : the politics of literary reputation,London,Routledge,2017
93443295,"Williams, Kristian",Between the bullet and the lie : essays on Orwell,"Chico, California",AK Press,2017
94983515,"Orwell, George",Nineteen eighty-four,London,Vintage,2018
52912841,"Orwell, George",A life in letter and diaries,London,Folio Society,2017
16561263,"Newsinger, John",Hope lies in the proles : George Orwell and the left,London,PlutoPress,2018
12480570,"Crook, Tim",George Orwell on the radio : his works in sound drama and documentary,London,Routledge,2018
47420433,"Ostrom, Hans A.",Orwell's 'politics and the English language' in the age of pseudocracy,London,Routledge,2018
47420433,"Ostrom, Hans A.",Orwell's 'politics and the English language' in the age of pseudocracy,London,Routledge,2018
74434440,"Crick, Bernard",George Orwell : a life,London,Harvill Secker,2018
97753732,"Orwell, George",Nineteen eighty-four,London,Penguin,2018
10916268,"Orwell, George",Animal farm,London,Penguin,2018
16561263,"Newsinger, John",Hope lies in the proles : George Orwell and the left,London,PlutoPress,2018
13521656,"Crick, Bernard",George Orwell : a life,London,Vintage Digital,2018
66094880,"Orwell, George",Burmese days,London,Harvill Secker,2018
16740710,"Orwell, George",Keep the aspidistra flying,London,Harvill Secker,2018
15792727,"Orwell, George",Coming up for air,London,Harvill Secker,2018
55307460,"Orwell, George",Animal farm,London,Harvill Secker,2018
11500431,"Orwell, George",Nineteen eighty-four,London,Harvill Secker,2018
87758671,"Orwell, George",A clergyman's daughter,London,Harvill Secker,2018
14258725,"Laursen, Eric",The duty to stand aside : Nineteen eighty-four and the wartime quarrel of George Orwell and Alex Comfort,Edinburgh,AK Press,2018
16091269,"Williams, Ian, Political scientist",Political and cultural perceptions of George Orwell : British and American views,New York,Palgrave Macmillan,2017
32896288,"Kalelioğlu, Murat",A literary semiotics approach to the universe of meaning in George Orwell's 1984 narrative,Newcastle upon Tyne,Cambridge Scholars,2019
76971897,"Kalelioğlu, Murat",A literary semiotics approach to the semantic universe of George Orwell's Nineteen Eighty-Four,Newcastle upon Tyne,Cambridge Scholars,2019
11838746,"Lynskey, Dorian",The ministry of truth : the biography of George Orwell's 1984,London,Picador,2019
10665531,"Rodden, John","Becoming George Orwell : life and letters, legend and legacy",Princeton,Princeton University Press,2019
11838746,"Lynskey, Dorian",The ministry of truth : the biography of George Orwell's 1984,London,Picador,2019
96716097,"Brindle, Keith",Animal farm,Harlow,Pearson,2019
