ID,Name,Title,Place publication,Publisher,Date of publication
142511159454027322834649408477053878100,"Sutherland, John",Orwell's nose : a pathological biography,London,Reaktion,2016
165963886633439343242631602715032786458,"Radford, Kevin",Animal farm for GCSE,London,Hodder Education,2016
6571317707850964078674220526784593156,"Brennan, Michael G.",George Orwell and religion,London,Bloomsbury,2016
161483133892357053020349909239692733977,"Sutherland, John",Orwell's nose : a biography,London,Reaktion,2016
155772314744180752796967851607535134089,"Burns, Paul",Animal farm : AQA GCSE English literature,London,Collins,2017
36918893949059195678857381842264773865,"Sutherland, John",Orwell's nose : a pathological biography,London,Reaktion,2017
64841870402456395056020335328115286144,"Opalinska, Wanda",Animal farm : George Orwell,Harlow,Pearson,2015
24914180436769980057152302234186155568,"Rodden, John",George Orwell : the politics of literary reputation,London,Routledge,2017
93443295040952161635105979123572485700,"Williams, Kristian",Between the bullet and the lie : essays on Orwell,"Chico, California",AK Press,2017
9498351594555364781431894783629421173,"Orwell, George",Nineteen eighty-four,London,Vintage,2018
52912841245606442970650815806487536423,"Orwell, George",A life in letter and diaries,London,Folio Society,2017
165612633021562005844311658262241874292,"Newsinger, John",Hope lies in the proles : George Orwell and the left,London,PlutoPress,2018
12480570768969706197675803337041973978,"Crook, Tim",George Orwell on the radio : his works in sound drama and documentary,London,Routledge,2018
47420433350127905254663632190659498486,"Ostrom, Hans A.",Orwell's 'politics and the English language' in the age of pseudocracy,London,Routledge,2018
47420433350127905254663632190659498486,"Ostrom, Hans A.",Orwell's 'politics and the English language' in the age of pseudocracy,London,Routledge,2018
74434440824583400433697403650945237875,"Crick, Bernard",George Orwell : a life,London,Harvill Secker,2018
97753732007388512983915758079382606370,"Orwell, George",Nineteen eighty-four,London,Penguin,2018
109162680332719940011546928074652175523,"Orwell, George",Animal farm,London,Penguin,2018
165612633021562005844311658262241874292,"Newsinger, John",Hope lies in the proles : George Orwell and the left,London,PlutoPress,2018
135216563768853865819383798280470009275,"Crick, Bernard",George Orwell : a life,London,Vintage Digital,2018
66094880937268001217505508192231861963,"Orwell, George",Burmese days,London,Harvill Secker,2018
16740710406038591813576786654210849278,"Orwell, George",Keep the aspidistra flying,London,Harvill Secker,2018
157927272981523589182719189201967169370,"Orwell, George",Coming up for air,London,Harvill Secker,2018
55307460133338511176291052415459029765,"Orwell, George",Animal farm,London,Harvill Secker,2018
115004315653685978218157332510928332337,"Orwell, George",Nineteen eighty-four,London,Harvill Secker,2018
